Movie,Reasons,Picks,Trailer
All About Anne,documentary,Propaganda Game,https://www.youtube.com/watch?v=YGir3buLI8c
All About Anne,politics,Propaganda Game,https://www.youtube.com/watch?v=YGir3buLI8c
American Beauty,Darkness,500 Days of Summer,https://www.youtube.com/watch?v=PsD0NpFSADM
American Beauty,Reality,500 Days of Summer,https://www.youtube.com/watch?v=PsD0NpFSADM
American Gangster,Denzel Washington's calm and composed demeanour,Killing Them Softly,https://www.youtube.com/watch?v=tDyaNnrgdp4
American Gangster,Denzel Washington's calm and composed demeanour,A Most Violent Year,https://www.youtube.com/watch?v=Rj3DJ2mo0BU
American Gangster,Denzel Washington's calm and composed demeanour,We Own the Night,https://www.youtube.com/watch?v=O6M9SIbcMxE
American Gangster,Story Depth,Killing Them Softly,https://www.youtube.com/watch?v=tDyaNnrgdp4
American Gangster,Story Depth,A Most Violent Year,https://www.youtube.com/watch?v=Rj3DJ2mo0BU
American Gangster,Story Depth,We Own the Night,https://www.youtube.com/watch?v=O6M9SIbcMxE
American Gangster,Based on real events,Killing Them Softly,https://www.youtube.com/watch?v=tDyaNnrgdp4
American Gangster,Based on real events,A Most Violent Year,https://www.youtube.com/watch?v=Rj3DJ2mo0BU
American Gangster,Based on real events,We Own the Night,https://www.youtube.com/watch?v=O6M9SIbcMxE
American Psycho,N/A,Crave,https://www.youtube.com/watch?v=qFCdeaGpmCY
American Psycho,creepy,Perfume,https://www.youtube.com/watch?v=zutiIw_2e2g
Amistad,Intensity,Hotel Rwanda,https://www.youtube.com/watch?v=j2vMvyQeb1U
Amistad,Intensity,The Last King of Scotland,https://www.youtube.com/watch?v=iV_QgKJFZP0
Amistad,Intensity,Colonia,https://www.youtube.com/watch?v=UBSMl343fsw
Amistad,Entertaining,The Boy In Striped Pajamas,https://www.youtube.com/watch?v=itXGr-MXESs
Amistad,Entertaining,Ghosts Of Mississippi,https://www.youtube.com/watch?v=JS5Eg55ACYM
Amistad,Entertaining,The Way Back,https://www.youtube.com/watch?v=87kezJTpyMI
Amistad,History,The Boy In Striped Pajamas,https://www.youtube.com/watch?v=itXGr-MXESs
Amistad,History,Ghosts Of Mississippi,https://www.youtube.com/watch?v=JS5Eg55ACYM
Amistad,History,The Way Back,https://www.youtube.com/watch?v=87kezJTpyMI
Amistad,Acting,The Boy In Striped Pajamas,https://www.youtube.com/watch?v=itXGr-MXESs
Amistad,Acting,Ghosts Of Mississippi,https://www.youtube.com/watch?v=JS5Eg55ACYM
Amistad,Acting,The Way Back,https://www.youtube.com/watch?v=87kezJTpyMI
Antichrist,Psychological Nature,Cabin in the Woods,https://www.youtube.com/watch?v=NsIilFNNmkY
Antichrist,Psychological Nature,The Babadook,https://www.youtube.com/watch?v=szaLnKNWC-U
Antichrist,Psychological Nature,Enemy,https://www.youtube.com/watch?v=siPDDrxxZDg
Antichrist,Intensity,Cabin in the Woods,https://www.youtube.com/watch?v=NsIilFNNmkY
Antichrist,Intensity,The Babadook,https://www.youtube.com/watch?v=szaLnKNWC-U
Antichrist,Intensity,Enemy,https://www.youtube.com/watch?v=siPDDrxxZDg
Antichrist,Darkness,Cabin in the Woods,https://www.youtube.com/watch?v=NsIilFNNmkY
Antichrist,Darkness,The Babadook,https://www.youtube.com/watch?v=szaLnKNWC-U
Antichrist,Darkness,Enemy,https://www.youtube.com/watch?v=siPDDrxxZDg
Argo,Historical,The Insider,https://www.youtube.com/watch?v=6wwJp8VDGzE
Argo,Historical,All The President's Men,https://www.youtube.com/watch?v=vLt6djxhNe8
Argo,Historical,The Debt,https://www.youtube.com/watch?v=qnPV_MLgiIc
Argo,Historical,The Ides Of March,https://www.youtube.com/watch?v=y494hUO-aw8
Argo,Subtle Action,The Insider,https://www.youtube.com/watch?v=6wwJp8VDGzE
Argo,Subtle Action,All The President's Men,https://www.youtube.com/watch?v=vLt6djxhNe8
Argo,Subtle Action,The Debt,https://www.youtube.com/watch?v=qnPV_MLgiIc
Argo,Subtle Action,The Ides Of March,https://www.youtube.com/watch?v=y494hUO-aw8
Argo,Thrilling,The Insider,https://www.youtube.com/watch?v=6wwJp8VDGzE
Argo,Thrilling,All The President's Men,https://www.youtube.com/watch?v=vLt6djxhNe8
Argo,Thrilling,The Debt,https://www.youtube.com/watch?v=qnPV_MLgiIc
Argo,Thrilling,The Ides Of March,https://www.youtube.com/watch?v=y494hUO-aw8
Austin Powers,Comedy,The Heat,https://www.youtube.com/watch?v=1O3iRdiplB0
Austin Powers,Comedy,Spy,https://www.youtube.com/watch?v=ltijEmlyqlg
Avatar,Special Effects,Pacific Rim,https://www.youtube.com/watch?v=5guMumPFBag
Avatar,Special Effects,Battleship,https://www.youtube.com/watch?v=8NNQqHsIc-4
Avatar,Fantasy Story Lines,Pacific Rim,https://www.youtube.com/watch?v=5guMumPFBag
Avatar,Fantasy Story Lines,The Adventures of Tintin: The Secret of the Unicorn,https://www.youtube.com/watch?v=7NWtW699XME
Avatar,Fantasy Story Lines,The Golden Compass,https://www.youtube.com/watch?v=qN2P0FP2BWI
Back to the Future,Technology,Bill & Ted's Excellent Adventure,https://www.youtube.com/watch?v=q3fx6TugN7g
Back To The Future,Time Travel,Frequently Asked Questions About Time Travel,www.youtube.com/watch?v=WBV340x3GcA
Back To The Future,Time Travel,Bill and Ted's Excellent Adventure,https://www.youtube.com/watch?v=sFy17auuK08
Back To The Future,Comedy,Frequently Asked Questions About Time Travel,www.youtube.com/watch?v=WBV340x3GcA
Back To The Future,Comedy,Bill and Ted's Excellent Adventure,https://www.youtube.com/watch?v=sFy17auuK08
Back to the Future ,Time Travel,Primer, https://www.youtube.com/watch?v=3nj5MMURCm8
Back to the Future ,Time Travel,Looper,https://www.youtube.com/watch?v=2iQuhsmtfHw
Back to the Future ,Time Travel,Timeframes, https://www.youtube.com/watch?v=3XuWoe9NSic
Back to the Future ,Time Travel,Predestination,https://www.youtube.com/watch?v=UVOpfpYijHA
Back to the Future ,Time Travel,Source Code, https://www.youtube.com/watch?v=NkTrG-gpIzE
Bad Boys 2,Action,The Man From U.N.C.L.E.,https://www.youtube.com/watch?v=4K4Iv_N9Nno
Bad Boys 2,Action,The Art Of The Steal,https://www.youtube.com/watch?v=UbqvELZ1-P8
Bad Boys 2,Witty Jokes,The Man From U.N.C.L.E.,https://www.youtube.com/watch?v=4K4Iv_N9Nno
Bad Boys 2,Witty Jokes,The Art Of The Steal,https://www.youtube.com/watch?v=UbqvELZ1-P8
Basketball Diaries,Leonardo Di Caprio's character,Trainspotting,https://www.youtube.com/watch?v=8LuxOYIpu-I
Basketball Diaries,Leonardo Di Caprio's character,Roadracers,https://www.youtube.com/watch?v=fRQA6jOJsb4
Basketball Diaries,Dark,Trainspotting,https://www.youtube.com/watch?v=8LuxOYIpu-I
Basketball Diaries,Dark,Roadracers,https://www.youtube.com/watch?v=fRQA6jOJsb4
Basketball Diaries,Sad,Trainspotting,https://www.youtube.com/watch?v=8LuxOYIpu-I
Basketball Diaries,Sad,Roadracers,https://www.youtube.com/watch?v=fRQA6jOJsb4
Batman Begins,Darkness,Hellboy,https://www.youtube.com/watch?v=kA9vtXbbhVs
Batman Begins,Darkness,Blade,https://www.youtube.com/watch?v=kaU2A7KyOu4
Batman Begins,Darkness,Spawn,
Batman Begins,Super Heroes,Hellboy,https://www.youtube.com/watch?v=kA9vtXbbhVs
Batman Begins,Super Heroes,Blade,https://www.youtube.com/watch?v=kaU2A7KyOu4
Batman Begins,Super Heroes,Spawn,
Batman,Darkness,Hellboy,https://www.youtube.com/watch?v=kA9vtXbbhVs
Batman,Darkness,Blade,https://www.youtube.com/watch?v=kaU2A7KyOu4
Batman,Darkness,Spawn,
Batman,Super Heroes,Hellboy,https://www.youtube.com/watch?v=kA9vtXbbhVs
Batman,Super Heroes,Blade,https://www.youtube.com/watch?v=kaU2A7KyOu4
Batman,Super Heroes,Spawn,
Batman v Superman: Dawn of Justice,Strong movie,Warrior,https://www.youtube.com/watch?v=kY7HcUACs58
Batman v Superman: Dawn of Justice,Strong movie,X-Men: Apocalypse,
Being Elmo,documentary,Grizzly Man,https://www.youtube.com/watch?v=gWycuaWJFCM
Being Elmo,documentary,Senna,https://www.youtube.com/watch?v=gyhKXyatgi0
Being Elmo,documentary,Iris,https://www.youtube.com/watch?v=Fo8jwJ_2l0c
Being Elmo,passionate about Something,Grizzly Man,https://www.youtube.com/watch?v=gWycuaWJFCM
Being Elmo,passionate about Something,Senna,https://www.youtube.com/watch?v=gyhKXyatgi0
Being Elmo,passionate about Something,Iris,https://www.youtube.com/watch?v=Fo8jwJ_2l0c
Being John Malkovich,N/A,Stranger than Fiction,https://www.youtube.com/watch?v=PZpg8VII7es
Being John Malkovich,N/A,Comet,https://www.youtube.com/watch?v=aUpQhgl9PGQ
Big Fish,N/A,The Fall,https://www.youtube.com/watch?v=IwsYyRc9j4g
Black Mass,Darkness,Kill the Irishman,https://www.youtube.com/watch?v=x2zN53Vwnz0
Black Mass,Intensity,Kill the Irishman,https://www.youtube.com/watch?v=x2zN53Vwnz0
Blade Runner,Best Movie Ever,Uncanny,https://www.youtube.com/watch?v=npA4W321Kzc
Blade Runner,Dark,Escape From New York,https://www.youtube.com/watch?v=ckvDo2JHB7o
Blade Runner,Dark,Uncanny,https://www.youtube.com/watch?v=npA4W321Kzc
Blade Runner,Philosophical,Escape From New York,https://www.youtube.com/watch?v=ckvDo2JHB7o
Blade Runner,Philosophical,Uncanny,https://www.youtube.com/watch?v=npA4W321Kzc
Blade Runner,Music,Escape From New York,https://www.youtube.com/watch?v=ckvDo2JHB7o
Blade Runner,Music,Uncanny,https://www.youtube.com/watch?v=npA4W321Kzc
Blue is the warmest color,depth of dialogue,Weekend,https://www.youtube.com/watch?v
Blue is the warmest color,depth of dialogue,Frances Ha,
Blue is the warmest color,acting of main actress,Weekend,https://www.youtube.com/watch?v
Blue is the warmest color,acting of main actress,Frances Ha,
Boomerang,Eddie Murphy's character,Hitch,https://www.youtube.com/watch?v=lp--Un6fNro
Boomerang,Eddie Murphy's character,The Ugly Truth,
Boomerang,Eddie Murphy's character,Focus,https://www.youtube.com/watch?v=MxCRgtdAuBo
Bourne Identity,Story,The American,https://www.youtube.com/watch?v=4ywmoXZwkA0
Bourne Identity,Action,The American,https://www.youtube.com/watch?v=4ywmoXZwkA0
jason Bourne,Story,The American,https://www.youtube.com/watch?v=4ywmoXZwkA0
jason bourne,Action,The American,https://www.youtube.com/watch?v=4ywmoXZwkA0
Braveheart,N/A,Centurion,https://www.youtube.com/watch?v=KOZs2_i_cDE
Braveheart,N/A,Centurion,https://www.youtube.com/watch?v=KOZs2_i_cDE
Bridget Jones's Diary,Romantic Comedy,Crazy Stupid Love,https://www.youtube.com/watch?v=8iCwtxJejik
Buckaroo Banzai,Sci-Fi,Labryinth,https://www.youtube.com/watch?v=WT_xpFZe20A
Buckaroo Banzai,Sci-Fi,Kung Fury,https://www.youtube.com/watch?v=72RqpItxd8M
Buckaroo Banzai,Sci-Fi,Flash Gordon,https://www.youtube.com/watch?v=OROLRvKamdE
Buckaroo Banzai,Sci-Fi,Escape From LA,https://www.youtube.com/watch?v=drOdRwD1JF0
Buckaroo Banzai,Great Cast,Kung Fury,https://www.youtube.com/watch?v=72RqpItxd8M
Buckaroo Banzai,Great Cast,Flash Gordon,https://www.youtube.com/watch?v=OROLRvKamdE
Buckaroo Banzai,Great Cast,Labryinth,https://www.youtube.com/watch?v=WT_xpFZe20A
Buckaroo Banzai,Great Cast,Escape From LA,https://www.youtube.com/watch?v=drOdRwD1JF0
Buckaroo Banzai,Classic,Labryinth,https://www.youtube.com/watch?v=WT_xpFZe20A
Buckaroo Banzai,Classic,Flash Gordon,https://www.youtube.com/watch?v=OROLRvKamdE
Buckaroo Banzai,Classic,Kung Fury,https://www.youtube.com/watch?v=72RqpItxd8M
Buckaroo Banzai,Classic,Escape From LA,https://www.youtube.com/watch?v=drOdRwD1JF0
Captain America: Civil War,Super Heroes,The Avengers,
Captain America: Civil War,Super Heroes,Iron Man,
Captain America: Civil War,Super Heroes,The Avengers,
Captain America: Civil War,Super Heroes,Iron Man,
Chronicle,Character Dynamics,Transcendence,
Chronicle,Character Dynamics,Lucy,
Chronicle,Character Dynamics,Unbreakable,https://www.youtube.com/watch?v=R_f1uCWKZQs
Chronicle,Unique Take on Powered Humans,Transcendence,
Chronicle,Unique Take on Powered Humans,Lucy,
Chronicle,Unique Take on Powered Humans,Unbreakable,https://www.youtube.com/watch?v=R_f1uCWKZQs
Citizenfour,In-depth,Deep Web,https://www.youtube.com/watch?v=BvC9oDlT8mM
Citizenfour,Investigative,Deep Web,https://www.youtube.com/watch?v=BvC9oDlT8mM
Citizen four,In-depth,Deep Web,https://www.youtube.com/watch?v=BvC9oDlT8mM
Citizen four,Investigative,Deep Web,https://www.youtube.com/watch?v=BvC9oDlT8mM
Code 46,sci-fi that isn't too removed from real life,Children of Men,https://www.youtube.com/watch?v=Q9CFcTY_pik
Code 46,sci-fi that isn't too removed from real life,The Man From Earth,https://www.youtube.com/watch?v=lVMhEAI3pvg
Code 46,sci-fi that isn't too removed from real life,Moon,https://www.youtube.com/watch?v=twuScTcDP_Q
Code 46,sci-fi that isn't too removed from real life,Stalker,https://www.youtube.com/watch?v=avBWXOqayTg
Code 46,The Plausibility,Children of Men,https://www.youtube.com/watch?v=Q9CFcTY_pik
Code 46,The Plausibility,The Man From Earth,https://www.youtube.com/watch?v=lVMhEAI3pvg
Code 46,The Plausibility,Moon,https://www.youtube.com/watch?v=twuScTcDP_Q
Code 46,The Plausibility,Stalker,https://www.youtube.com/watch?v=avBWXOqayTg
Code 46,The Realism,In Time,
Code 46,The Realism,Solaris,
Code 46,The Realism,I Origins,https://www.youtube.com/watch?v=amFKzf4Lr5M
Coherence,The ending,Brick,https://www.youtube.com/watch?v=znuV7Ozpro1
Coherence,The ending,Babe,https://www.youtube.com/watch?v=gzrHrTVaqJs
Coherence,Suspense,Time Lapse,https://www.youtube.com/watch?v=_YhP-VfH81E
Coherence,Suspense,Predestination,
Crash,Fleshed out Characters,Brick,https://www.youtube.com/watch?v=znuV7Ozpro2
Crash,Fleshed out Characters,Babe,https://www.youtube.com/watch?v=gzrHrTVaqJs
Dances With Wolves,N/A,Centurion,https://www.youtube.com/watch?v=KOZs2_i_cDE
Dances With Wolves,Epic Story,The Last of the Mohicans,https://www.youtube.com/watch?v=yaQeVnN6pUc
Dances With Wolves,Sweeping Landscape,The Last of the Mohicans,https://www.youtube.com/watch?v=yaQeVnN6pUc
Dances With Wolves,Historical Drama,The Last of the Mohicans,https://www.youtube.com/watch?v=yaQeVnN6pUc
Dances with Wolves,N/A,Centurion,https://www.youtube.com/watch?v=KOZs2_i_cDE
Daredevil,Darkness,Hellboy,https://www.youtube.com/watch?v=Ob9J3kCELXE
Daredevil,Darkness,Darkman,https://www.youtube.com/watch?v=L58rdhCfDIU
Daredevil,Darkness,The Crow,https://www.youtube.com/watch?v=N5uPZ7ocsqA
Deadpool,Funny,KickAss,
Deadpool,Action,Hellboy,https://www.youtube.com/watch?v=kA9vtXbbhVs
Deadpool,Clever Humor,Kick-Ass,https://www.youtube.com/watch?v=rFpWpkxsVI8
Deadpool,Mindblowing Action,Kick-Ass,https://www.youtube.com/watch?v=rFpWpkxsVI8
Deadpool,Acting,Hancock,https://www.youtube.com/watch?v=wejlx3n2g8w
Deadpool,Acting,Hellboy,https://www.youtube.com/watch?v=kA9vtXbbhVs
Delicatessen,Cinematography,Waking Life,https://www.youtube.com/watch?v=xX10vQEa56E
Delicatessen,Cinematography,"OSS 117: Cairo, Nest of Spies",https://www.youtube.com/watch?v=k30wCE82640
Die Hard,Action,Air Force One,
Die Hard,Action,The Fugitive,https://www.youtube.com/watch?v=qOoOL9e_bOE
Donnie Darko,N/A,Blackswan,
Donnie Darko,N/A,Eternal Sunshine,
Donnie Darko,N/A,The Butterfly Effect,
Donnie Darko,N/A,Another Earth,https://www.youtube.com/watch?v=N8hEwMMDtFY
Donnie Darko,Concept,The Man From Earth,https://www.youtube.com/watch?v=lVMhEAI3pvg
Donie Darko,Concept,Coherence,https://www.youtube.com/watch?v=sEceDz1Rodc
Drive,Crime,The Limey,https://www.youtube.com/watch?v=79-aprZFLVk
Drive,Crime,Brick,https://www.youtube.com/watch?v=3cVzHeJ0Z3I
Drive,Crime,Nightcrawler,https://www.youtube.com/watch?v=u1uP_8VJkDQ
Drive,Crime,The Yards,https://www.youtube.com/watch?v=udKtT5xkF_0
Drive,Crime,Swelter,https://www.youtube.com/watch?v=vS9JZt0RvuA
Drive,Ryan Gosling,Kiss Kiss Bang Bang,
Drive,Ryan Gosling,"Lock, Stock and Two Smoking Barrels",https://www.youtube.com/watch?v=h6hZkvrFIj0
